time,poa_global,transmitted
2024-11-23 06:00:00-05:00,0.0,0.0
2024-11-23 06:05:00-05:00,0.0,0.0
2024-11-23 06:10:00-05:00,0.0,0.0
2024-11-23 06:15:00-05:00,0.0,0.0
2024-11-23 06:20:00-05:00,0.0,0.0
2024-11-23 06:25:00-05:00,0.0,0.0
2024-11-23 06:30:00-05:00,0.0,0.0
2024-11-23 06:35:00-05:00,0.0,0.0
2024-11-23 06:40:00-05:00,0.0,0.0
2024-11-23 06:45:00-05:00,0.0,0.0
2024-11-23 06:50:00-05:00,0.0,0.0
2024-11-23 06:55:00-05:00,0.0,0.0
2024-11-23 07:00:00-05:00,0.0,0.0
2024-11-23 07:05:00-05:00,5.680151605624236,5.112136445061812
2024-11-23 07:10:00-05:00,17.128631778264218,15.415768600437797
2024-11-23 07:15:00-05:00,37.125445991679776,33.4129013925118
2024-11-23 07:20:00-05:00,64.26947746112063,57.84252971500857
2024-11-23 07:25:00-05:00,95.8890643263115,86.30015789368035
2024-11-23 07:30:00-05:00,129.5876536697061,116.62888830273549
2024-11-23 07:35:00-05:00,163.71942679692503,147.34748411723254
2024-11-23 07:40:00-05:00,197.30684940410168,177.57616446369153
2024-11-23 07:45:00-05:00,229.83189986112916,206.84870987501625
2024-11-23 07:50:00-05:00,261.05836884411343,234.9525319597021
2024-11-23 07:55:00-05:00,290.9115569874705,261.8204012887234
2024-11-23 08:00:00-05:00,319.404172914766,287.4637556232894
2024-11-23 08:05:00-05:00,346.59287759631917,311.93358983668725
2024-11-23 08:10:00-05:00,372.5535285430795,335.29817568877155
2024-11-23 08:15:00-05:00,397.3675615607931,357.6308054047138
2024-11-23 08:20:00-05:00,421.11472575551,379.003253179959
2024-11-23 08:25:00-05:00,443.8695289069523,399.4825760162571
2024-11-23 08:30:00-05:00,465.6996832851113,419.1297149566002
2024-11-23 08:35:00-05:00,486.66572528362025,437.99915275525825
2024-11-23 08:40:00-05:00,506.82119849908077,456.1390786491727
2024-11-23 08:45:00-05:00,526.2131307475184,473.59181767276664
2024-11-23 08:50:00-05:00,544.8826588060597,490.3943929254537
2024-11-23 08:55:00-05:00,562.8656415203845,506.5790773683461
2024-11-23 09:00:00-05:00,580.1932923436405,522.1739631092764
2024-11-23 09:05:00-05:00,596.8927271030229,537.2034543927207
2024-11-23 09:10:00-05:00,612.9874946618959,551.6887451957064
2024-11-23 09:15:00-05:00,628.4980142669073,565.6482128402165
2024-11-23 09:20:00-05:00,643.441991762502,579.0977925862518
2024-11-23 09:25:00-05:00,657.8347636661281,592.0512872995153
2024-11-23 09:30:00-05:00,671.6895977392107,604.5206379652897
2024-11-23 09:35:00-05:00,685.0179726804382,616.5161754123944
2024-11-23 09:40:00-05:00,697.8297949086117,628.0468154177505
2024-11-23 09:45:00-05:00,710.1336143386743,639.1202529048069
2024-11-23 09:50:00-05:00,721.9367859493692,649.7431073544323
2024-11-23 09:55:00-05:00,733.2456356696194,659.9210721026575
2024-11-23 10:00:00-05:00,744.0655808988072,669.6590228089265
2024-11-23 10:05:00-05:00,754.4012575535113,678.9611317981602
2024-11-23 10:10:00-05:00,764.2566169187348,687.8309552268614
2024-11-23 10:15:00-05:00,773.6350110333545,696.2715099300191
2024-11-23 10:20:00-05:00,782.5392798899788,704.285351900981
2024-11-23 10:25:00-05:00,790.9718099641937,711.8746289677744
2024-11-23 10:30:00-05:00,798.9346040810601,719.0411436729541
2024-11-23 10:35:00-05:00,806.4293254461376,725.7863929015239
2024-11-23 10:40:00-05:00,813.4573529410293,732.1116176469263
2024-11-23 10:45:00-05:00,820.0198142742528,738.0178328468276
2024-11-23 10:50:00-05:00,826.1176290318474,743.5058661286627
2024-11-23 10:55:00-05:00,831.751537535984,748.5763837823856
2024-11-23 11:00:00-05:00,836.9221269803945,753.2299142823551
2024-11-23 11:05:00-05:00,841.6298612578854,757.4668751320969
2024-11-23 11:10:00-05:00,845.8750970340693,761.2875873306624
2024-11-23 11:15:00-05:00,849.6581076526392,764.6922968873753
2024-11-23 11:20:00-05:00,852.9790949260166,767.681185433415
2024-11-23 11:25:00-05:00,855.8382072519274,770.2543865267347
2024-11-23 11:30:00-05:00,858.235548005026,772.4119932045234
2024-11-23 11:35:00-05:00,860.1711883836293,774.1540695452665
2024-11-23 11:40:00-05:00,861.6451741684215,775.4806567515793
2024-11-23 11:45:00-05:00,862.6575318794751,776.3917786915276
2024-11-23 11:50:00-05:00,863.2082748405862,776.8874473565277
2024-11-23 11:55:00-05:00,863.2974053521682,776.9676648169514
2024-11-23 12:00:00-05:00,862.924917005048,776.6324253045432
2024-11-23 12:05:00-05:00,862.0907947927562,775.8817153134806
2024-11-23 12:10:00-05:00,860.7950134066923,774.715512066023
2024-11-23 12:15:00-05:00,859.0375352980018,773.1337817682016
2024-11-23 12:20:00-05:00,856.818305219644,771.1364746976797
2024-11-23 12:25:00-05:00,854.1372444561164,768.7235200105048
2024-11-23 12:30:00-05:00,850.994244476193,765.8948200285737
2024-11-23 12:35:00-05:00,847.38915476869,762.650239291821
2024-11-23 12:40:00-05:00,843.3217748138078,758.989597332427
2024-11-23 12:45:00-05:00,838.7918367587545,754.912653082879
2024-11-23 12:50:00-05:00,833.798994093578,750.4190946842202
2024-11-23 12:55:00-05:00,828.3427986607878,745.5085187947091
2024-11-23 13:00:00-05:00,822.4226851931709,740.1804166738538
2024-11-23 13:05:00-05:00,816.0379425472591,734.4341482925332
2024-11-23 13:10:00-05:00,809.1876884981456,728.268919648331
2024-11-23 13:15:00-05:00,801.8708419369829,721.6837577432846
